"0";"Estandarte de recolección de clan"
"1";"Estandarte de hallazgo mágico de clan"
"2";"Estandarte de karma de clan"
"3";"Estandarte de Celeridad de clan"
"4";"Termina la transformación y recupera tu forma real."
"5";"Combo de noqueos"
"6";"Combo de noqueos"
"7";"Agonía del sabueso"
"8";"Potenciador de sabueso de Balthazar"
"9";"Disparas una flecha de balista a los enemigos que se acerquen. Inflige daño doble a las armas de asedio."
"10";"Disparas una flecha de balista que se astilla al impactar y causa hemorragia a los enemigos cercanos."
"11";"Disparar virote destrozador"
"12";"Empleado por la Forja Mística para producir objetos PvP."
"13";"Cristal[pl:"Cristales"] arcano[pl:"arcanos"]"
"14";"Polvo[pl:"Polvos"] arcano[pl:"arcanos"]"
"15";"Astilla[pl:"Astillas"] arcana[pl:"arcanas"]"
"16";"Vale[pl:"Vales"] de yelmo ligero"
"17";"Vale[pl:"Vales"] de hombrera ligera"
"18";"Vale[pl:"Vales"] de abrigo ligero"
"19";"Vale[pl:"Vales"] de guantes ligeros"
"20";"Vale[pl:"Vales"] de calzas ligeras"
"21";"Vale[pl:"Vales"] de botas ligeras"
"22";"Vale[pl:"Vales"] de hacha"
"23";"Vale[pl:"Vales"] de daga"
"24";"Vale[pl:"Vales"] de foco"
"25";"Vale[pl:"Vales"] de mandoble"
"26";"Vale[pl:"Vales"] de martillo"
"27";"Vale[pl:"Vales"] de maza"
"28";"Vale[pl:"Vales"] de pistola"
"29";"Vale[pl:"Vales"] de rifle"
"30";"Vale[pl:"Vales"] de cetro"
"31";"Vale[pl:"Vales"] de escudo"
"32";"Vale[pl:"Vales"] de arco corto"
"33";"Vale[pl:"Vales"] de báculo"
"34";"Vale[pl:"Vales"] de espada"
"35";"Vale[pl:"Vales"] de antorcha"
"36";"Vale[pl:"Vales"] de tridente"
"37";"Vale[pl:"Vales"] de cuerno de guerra"
"38";"Vale[pl:"Vales"] de conejo"
"39";"Vale[pl:"Vales"] de ciervo"
"40";"Vale[pl:"Vales"] de dolyak"
"41";"Vale[pl:"Vales"] de lobo"
"42";"Vale[pl:"Vales"] de tigre"
"43";"Vale[pl:"Vales"] de oso"
"44";"Vale[pl:"Vales"] de tiburón"
"45";"Vale[pl:"Vales"] de fénix"
"46";"Vale[pl:"Vales"] de dragón"
"47";"Adjuntos encontrarás unos objetos especiales que esperamos que disfrutes. <c=@warning>Estos objetos solo pueden obtenerse a través de un personaje. Por favor, asegúrate de no borrar el personaje que los recibe. </c>¡Gracias por jugar a Guild Wars 2!"
"48";"Entrega de objeto especial"
"49";"Causas daño con un alcance menor a 300"
"50";"Causas daño con un alcance entre 300 y 600"
"51";"Causas daño con un alcance entre 600 y 900"
"52";"Causas daño con un alcance superior a 900"
"53";"Disparas un rayo a tu enemigo. Cuanto más lejos esté, más daño le haces."
"54";"Oleada espacial"
"55";"<c=@abilitytype>Fantasma.</c> Creas un fantasma que ataca a tu objetivo y crea una burbuja de defensa para protegerse a sí mismo y a los aliados de los proyectiles."
"56";"Guarda ilusorio"
"57";"Fuego rotatorio"
"58";"Siguen los problemas en las Catacumbas Ascalonianas"
"59";"¡%str1% recibe la asistencia!"
"60";"Ayuda a marcar un gol."
"61";"Asistencias"
"62";"Asistencia"
"63";"¡%str1% no deja nada suelto!"
"64";"Número de pérdidas que has recuperado."
"65";"Recuperaciones"
"66";"Recuperación"
"67";"¡%str1% realiza la intercepción!"
"68";"El número de lanzamientos de barricas que has interceptado."
"69";"Intercepciones"
"70";"Intercepción"
"71";"¡%str1% lo derriba!"
"72";"Número de pérdidas que has provocado."
"73";"Pérdidas causadas"
"74";"Pérdida causada"
"75";"NPC eliminados"
"76";"Número de enemigos que has derrotado."
"77";"Enemigos derrotados"
"78";"Enemigo derrotado"
"79";"%str1% ha invitado a %str2% al clan."
"80";"%str1% ha expulsado a %str2% del clan."
"81";"%str1% ha dejado el clan."
"82";"%str1% se ha unido al clan."
"83";"¡Salve, poderoso[f:"poderosa"] héroe[f:"heroína"]!

¡Espero que estés bien! ¡El vecindario está muy emocionado contigo! Me han dicho que van a celebrar una fiesta en honor de las negociaciones de paz entre humanos y charr del Valle de la Reina. La recepción será en el feudo de Lord Caudecus, con vistas a la ciudad de Beetletun, y asistirán diplomáticos de todas las razas principales. El capitán Logan Thackeray teme por la seguridad de la reina Jennah, que asistirá al acontecimiento, y necesitará ayuda. Un[f:"Una"] héroe[f:"heroína"] de tu calibre debería asistir a la fiesta y ofrecer su ayuda.

Gracias,

Tu heraldo

PD: Sabemos que Zojja también asistirá como parte de la delegación asura, pero no sabemos por qué. Nunca sabes por donde puede salir, ten cuidado."
"84";"Una invitación a la Mansión de Caudecus."
"85";"¡Saludos!<br><br>Como resultado de tus acciones, la reina Jennah ha sido rescatada de los bandidos. Ahora, el ministro Caudecus es su huésped en Linde de la Divinidad mientras duran las obras de reforma de su mansión. <br><br>Sin embargo, también me han dicho que hay problemas con las reformas y es posible que vuelvan a necesitar tu ayuda allí. Ve a la hacienda a ver cuál es el problema. Me han dicho que debes encontrarte con un miembro de la Hoja Brillante llamado Talie. Seguro que no hay ningún peligro.<br><br>Atentamente,<br><br>Tu heraldo"
"86";"Noticias inquietantes de la Mansión de Caudecus"
"87";"He oído que Faolain ha sido expulsada de la Pérgola del Crepúsculo, pero que, en su ausencia, tres partidarios de la Corte de la Pesadilla han irrumpido en el bosque e intentan hacerse con el control de un secreto que yace en algún lugar entre los árboles.

No sé qué puede ser ese secreto, pero al parecer merece la pena matar por él. He recibido informes sobre sylvari que huyen aterrorizados de la arboleda relatando historias de derramamiento de sangre y horror. Un puñado de sylvari cuidan de los refugiados desalojados por la invasión de la Corte de la Pesadilla, pero hay que hacer algo más. 

Ya te he presentado voluntario, así que demuestra que eres un[f:"una"] héroe[f:"heroína"] y pon fin a esta brutalidad.

Buen viaje,

Tu heraldo"
"88";"Una pesadilla continua"
"89";"¡Salve, poderoso[f:"poderosa"] héroe[f:"heroína"]!

Las historias de tus logros han llegado hasta muy lejos. He recibido noticias de Caithe, necesita ayuda en la Pérgola del Crepúsculo, un nido de seguidores de la Corte de la Pesadilla al norte de la Arboleda. Yo creo que se dirige allí porque otra de las primogénitas de los sylvari, Faolain, se ha erigido como líder de la Corte de la Pesadilla y cree que es responsabilidad suya. Caithe siempre ha sido solitaria, primero tras la pérdida de Faolain ante la Corte y luego con la ruptura del Filo del Destino, y creo que está intentando movilizar a sus nuevos amigos contra su antigua aliada.

Como siempre,

Tu heraldo"
"90";"Ayuda a Caithe en la Pérgola del Crepúsculo"
"91";"Mi enhorabuena por haber derrotado a Kudu. He de admitir que, cuando supe que Kudu estaba trabajando con energías dracónicas, me pregunté qué tramaba realmente.<br><br>Dicho esto, tenemos problemas más apremiantes. Ahora que Kudu ya no está, las cosas han empeorado en Abrazo del Pesar. Los draga se encaminan a la guerra civil, y algunos miembros de la sociedad de Kudu siguen activos en las profundidades. Y, lo que es más extraño, hay un par de grupos escindidos de los draga que parecen estar pidiendo ayuda al mundo exterior.<br><br>Nunca imaginé que vería a esos xenófobos habitantes de los túneles pedir ayuda, pero podría ser la oportunidad de hacer amigos. Como mínimo, podrás controlar a los draga. Además, tenemos la oportunidad de acabar con los miembros de la Inquisa que aún queden en Abrazo del Pesar. Parece algo apropiado para ti.<br><br>Atentamente,<br><br>Tu heraldo"
"92";"Noticias de Abrazo del Pesar"
"93";"¡Salve, poderoso[f:"poderosa"] héroe[f:"heroína"]!

He vuelto a recibir noticias de Caithe. Está decepcionada por no haber podido reconciliar a Logan y Rytlock, pero se ha reunido con Eir Stegalkin. Ambas se dirigen al Abrazo del Pesar, las antiguas fundiciones de los enanos en Fragua del Pesar. Ahora estas cavernas están ocupadas por los draga, que en el pasado fueron los esclavos de los enanos. Los informes dicen que Zojja ya está allí y que tiene sus propios objetivos. No sé qué pretende, está dispuesta a todo. Caithe te agradecería toda la ayuda que pudieras proporcionarles.

Siempre tuyo,

Tu heraldo"
"94";"Zojja en Abrazo del Pesar"
